score_fused,score_structure,score_alone
-17.79598638463018,-19.40930226457266,-19.253191058884042
-17.23325778437095,-17.2969595770988,-17.548729050729296
-17.00947553795684,-17.82630486600585,-17.978811243875878
-16.97560668629837,-17.551389888135695,-17.814300943076944
-16.976723567892638,-17.40275692088807,-17.581939190793385
-16.9743430100804,-17.386898505827084,-17.560955425156884
-17.012154370758154,-17.344856712227276,-17.500089446295217
-16.969093536681626,-17.228838524081297,-17.291629819762548
-16.99876145134656,-17.246723121775936,-17.240676427603216
-16.925836451113195,-17.127877955133737,-17.189098111427533
-16.9775197220846,-17.083530895583053,-17.154742203629894
-16.946070583225566,-17.04944949007375,-17.048974951091694
-16.911549362421233,-17.017176431820307,-17.072317542808175
-16.889800536016626,-16.994541468015587,-17.002587499090726
-16.928136448102943,-16.978481006712794,-16.971468891542717
-16.969377790612988,-17.025093740820775,-17.025093740820775
-16.925702568011754,-16.935613538663105,-16.94590600660601
-16.90389693474918,-16.926255015837548,-16.933163870944234
-16.901312441218035,-16.92929725496115,-16.928708668815066
-16.882635922675124,-16.9023510484507,-16.902041081806992
-16.904349785370155,-16.90355103542108,-16.903507162397208
-16.907376118605107,-16.89535537997938,-16.897507116229026
-16.96838836533892,-17.005117599861045,-17.005117599861048
-16.96763783070994,-17.011305059617694,-17.011305059617694
-16.90648269111694,-16.92680848616802,-16.926681960261153
-16.90280600909034,-16.917111410724146,-16.927172659253117
-16.904622324992054,-16.930019591323273,-16.932228795691078
-16.902619522734636,-16.92826490439088,-16.930501547651694
-16.89679404051663,-16.921733308359627,-16.92171998426652
-16.8955787817993,-16.913288411206473,-16.91516699676086
-16.89099564513505,-16.90694300980826,-16.908893394632635
-16.890644859380252,-16.909009443611936,-16.910875630354326
-16.889361985208613,-16.9058819422348,-16.90763158572299
-16.884816809567976,-16.90000118231809,-16.901889370906666
-16.888173430768557,-16.901609440149038,-16.903538430667794
-16.879999355489556,-16.897572975976722,-16.9087271803558
-16.87951171340805,-16.89435710524872,-16.90560677264433
-16.884488726136873,-16.909542264283193,-16.92096089660139
-16.883641615882745,-16.91395667356339,-16.925504150697158
-16.878294906773032,-16.905525303788536,-16.916940823028114
-16.900890349919354,-16.914472821463015,-16.917528462068322
-16.89055162702351,-16.913152195326848,-16.9131626586319
-16.892085986781122,-16.915146715396357,-16.915146715396357
-16.89661346832649,-16.913194733732492,-16.913194733732492
-16.882261121195135,-16.904218970927868,-16.913621463698718
-16.883080823973938,-16.903379055154726,-16.912892613242494
-16.88213728299747,-16.9052949444099,-16.913633092596754
-16.887314444528602,-16.901339406258536,-16.910851214181374
-16.883931613909912,-16.89576914192148,-16.905500040972605
-16.87614903657055,-16.896409646448465,-16.89354749032039
-16.87960365875662,-16.892443865836594,-16.89009176374057
