score_fused,score_structure,score_alone
-16.349635085883715,-19.22951840938776,-18.904432884701286
-16.629235540140012,-17.28243722827638,-17.31768737282296
-16.021640907020284,-16.878718938858242,-16.992254277615434
-16.077611659571748,-16.58730521919475,-16.652237713984633
-16.01170079689055,-16.441749837010327,-16.53969715697261
-16.021015428221354,-16.41448469701403,-16.504662558392525
-16.02174580485287,-16.343591602204842,-16.450781142335646
-16.068668558062708,-16.28091740180103,-16.332499851625144
-16.033942390259202,-16.264263792708167,-16.393456597706503
-16.07110262146821,-16.200035934834812,-16.439114958491842
-15.971287098939243,-16.306139059281865,-16.3568333097808
-16.026744890050317,-16.29126802862667,-16.32694128200658
-16.019125630629382,-16.23235069904879,-16.217660413772556
-16.019664991589654,-16.22877602766711,-16.25263970981915
-16.005324362748713,-16.16648974576605,-16.185798042067645
-16.163983325782407,-16.296989988104233,-16.162206889291696
-16.051134895616375,-16.26037137272993,-16.25233155499939
-16.06654908317672,-16.298651280797653,-16.308357056461187
-16.077054911586014,-16.28875290994323,-16.29141872545872
-16.35074735974462,-16.47273089070006,-16.282928945273095
-16.15315547025442,-16.334428546019524,-16.301214004757433
-16.116462501183335,-16.319351228474147,-16.301214004757433
-16.136233125099,-16.30495261770818,-16.318991500871245
-16.19693367024515,-16.288286242050443,-16.29607002471296
-16.144524722214012,-16.33475830372201,-16.34262583634704
-16.16535625025675,-16.32617119727239,-16.325528246138987
-16.156250212176225,-16.30335139974103,-16.311887399797783
-16.17153627075243,-16.29627408552672,-16.30886640345373
-16.15303995697239,-16.28125891446775,-16.296307123606187
-16.154692875266125,-16.270277693408435,-16.278724735564786
-16.16298651005875,-16.271198362239865,-16.260891629518447
-16.132152408240383,-16.244606476720904,-16.24620627157183
-16.123917533931284,-16.229013751670216,-16.2314513975135
-16.112631471090882,-16.219179127776542,-16.218688594957662
-16.104763246528215,-16.206222969014867,-16.206305307408588
-16.101345574602345,-16.198088168577673,-16.197990403147642
-16.0938440171944,-16.187690547291066,-16.187593943852562
-16.089450111626387,-16.17862919535203,-16.178077681456298
-16.092635128397102,-16.18201501596268,-16.168112968751725
-16.08991096567279,-16.170950225397036,-16.158324617037195
-16.069420621865852,-16.14941247940183,-16.148825004399153
-16.06072771199272,-16.14072745499804,-16.140919603117503
-16.056528252138815,-16.133041057098414,-16.133208097610563
-16.06299157673901,-16.126925324194108,-16.126590692571323
-16.06453407733912,-16.133234154400274,-16.119323040377644
-16.052300520487954,-16.114539101311824,-16.11495434188748
-16.048546470520435,-16.108340263312076,-16.10739406239905
-16.03292986726976,-16.09995728171892,-16.100169089354072
-16.043881406067847,-16.096813713556887,-16.09577526101453
-16.041680540319973,-16.091854396628445,-16.090394899293337
-16.02705642860194,-16.085805541811492,-16.085819797303984
