score_fused,score_alone
-29.797559412894223,-30.21539344278981
-29.7688162345977,-29.883173494255264
-29.762989343033368,-29.82010052715318
-29.784947042564767,-29.777875123638605
-29.74740148179468,-29.78965438548027
-29.762797276923084,-29.786266099014323
-29.76473577718579,-29.748682738001662
-29.751855719526134,-29.765198381666735
-29.751311674449664,-29.773188398504203
-29.753974561391455,-29.750383934708854
-29.745056330104017,-29.753531287778827
-29.770528098129887,-29.743374253167694
-29.76368291931803,-29.7491545252764
-29.771310124824304,-29.770112526213573
-29.757484765387105,-29.75729294102522
-29.765146329451547,-29.75310938632696
-29.768490904808022,-29.754191036368386
-29.765650013961746,-29.763699314338794
-29.754228574156773,-29.75266039258999
-29.742418624984264,-29.75197159252174
-29.745092343145174,-29.755418407221367
-29.743546513021734,-29.7615917915915
-29.75840777222244,-29.752856042429432
-29.73347337671294,-29.75471673822071
-29.754840558969235,-29.74384544570656
-29.748592443547253,-29.751114204456087
-29.752782902239044,-29.749719583478495
-29.744927268267197,-29.74695738857538
-29.73347337671294,-29.741480098796888
-29.73347337671294,-29.743899322194164
-29.73347337671294,-29.746921769092808
-29.73347337671294,-29.75018575196529
-29.73347337671294,-29.743141417918945
-29.76857591666859,-29.740565179742948
-29.744140719577263,-29.872030612665238
-29.757301823934537,-29.867031817298933
-29.735427377670028,-29.867031817298933
-29.740132229979157,-29.867031817298933
-29.752106266611488,-29.833997195292906
-29.74873598368773,-29.82894141924979
-29.753182555970874,-29.732463856259123
-29.744127865451176,-29.732463856259123
-29.738639077171936,-29.825418158767334
-29.739589448106816,-29.825418158767334
-29.74075860379304,-29.732143675887045
-29.747666404346553,-29.733907870347803
-29.74262939633678,-29.733907870347803
-29.74262939633678,-29.802753156268633
-29.737653905573733,-29.802753156268633
-29.735545657397402,-29.73724732765643
-29.735545657397402,-29.735720215335366
