score_fused,score_alone
-17.045681727381854,-17.31757628424856
-17.01159657103299,-17.13652072180905
-16.994715254533855,-17.131362988384378
-16.999356405328943,-17.03961597566921
-17.01213649737921,-17.090164486943827
-17.01213649737921,-17.090164486943827
-17.013324856649046,-17.088976127673995
-17.013324856649046,-17.088976127673995
-17.013324856649046,-17.088976127673995
-17.01213649737921,-17.02052719822875
-17.012118291541157,-17.037232668844325
-16.994715254533855,-17.02052719822875
-17.037212061837515,-17.037212061837515
-17.03311574955865,-17.037212061837515
-16.990618942254986,-17.037212061837515
-17.03311574955865,-17.037212061837515
-17.03311574955865,-17.037212061837515
-17.03313635656546,-17.037232668844325
-17.02042527703892,-17.037212061837515
-17.03313635656546,-17.037232668844325
-17.020445884045735,-17.037232668844325
-17.02035435042968,-17.037212061837515
-17.02042527703892,-17.02042527703892
-17.02035435042968,-17.02035435042968
-17.020358323545164,-17.03311574955865
-17.02042527703892,-17.02042527703892
-17.020445884045735,-17.020445884045735
-17.020445884045735,-17.020445884045735
-17.020384242098633,-17.020384242098633
-17.020445884045735,-17.020445884045735
-17.03311574955865,-17.03311574955865
-17.03311574955865,-16.967577561463038
-17.02042527703892,-17.02042527703892
-17.020358323545164,-17.020358323545164
-17.02042527703892,-17.02042527703892
-17.02042226799299,-17.02042226799299
-17.02042527703892,-17.02042527703892
-17.03311574955865,-17.03311574955865
-16.971656376036876,-16.971656376036876
-16.97168626770583,-16.97168626770583
-16.97168626770583,-16.97168626770583
-16.97168626770583,-16.97168626770583
-16.971656376036876,-16.971656376036876
-16.97166034915236,-16.97166034915236
-17.03311574955865,-17.03311574955865
-17.03311574955865,-17.03311574955865
-17.01643088594988,-17.01643088594988
-17.01643088594988,-17.01643088594988
-16.97166034915236,-16.97166034915236
-16.990593734215906,-16.990593734215906
-16.97166034915236,-16.97166034915236
-16.97168626770583,-16.97168626770583
-16.97168626770583,-16.97168626770583
-16.990593734215906,-16.990593734215906
-16.990593734215906,-16.990593734215906
-16.990593734215906,-16.990593734215906
-16.990593734215906,-16.990593734215906
-16.990593734215906,-16.990593734215906
-16.990593734215906,-16.990593734215906
-16.990593734215906,-16.990593734215906
-16.990593734215906,-16.990593734215906
-16.990593734215906,-16.990593734215906
-16.990593734215906,-16.990593734215906
-16.990593734215906,-16.990593734215906
-16.990593734215906,-16.990593734215906
-16.97168626770583,-16.990593734215906
-16.97168626770583,-16.990593734215906
-16.97166034915236,-16.97166034915236
-16.971656376036876,-16.971656376036876
-16.97168626770583,-16.97168626770583
-16.97168626770583,-16.990593734215906
-16.971656376036876,-16.971656376036876
-16.971656376036876,-16.971656376036876
-16.971656376036876,-16.971656376036876
-16.97166034915236,-16.97166034915236
-16.971656376036876,-16.971656376036876
-16.97166034915236,-16.97166034915236
-16.97166034915236,-16.97166034915236
-16.97168626770583,-16.97168626770583
-16.97166034915236,-16.97166034915236
-16.97168626770583,-16.97168626770583
-16.971656376036876,-16.971656376036876
-16.971656376036876,-16.971656376036876
-16.97166034915236,-16.97166034915236
-16.97168626770583,-16.97168626770583
-16.949900152713894,-16.949900152713894
-16.949904125829377,-16.949904125829377
-16.97168626770583,-16.97168626770583
-16.97166034915236,-16.97166034915236
-16.97168626770583,-16.97168626770583
-16.97166034915236,-16.97166034915236
-16.97168626770583,-16.97168626770583
-16.97168626770583,-16.97168626770583
-16.97166034915236,-16.97166034915236
-16.97166034915236,-16.97166034915236
-16.97166034915236,-16.97166034915236
-16.97166034915236,-16.97166034915236
-16.97166034915236,-16.97166034915236
-16.97168626770583,-16.97168626770583
-16.971656376036876,-16.971656376036876
-16.97166034915236,-16.97166034915236
-16.97166034915236,-16.97166034915236
-16.97168626770583,-16.97168626770583
-16.97168626770583,-16.97168626770583
-16.97166034915236,-16.97166034915236
-16.97166034915236,-16.97166034915236
-16.97166034915236,-16.97166034915236
-16.97166034915236,-16.97166034915236
-16.97168626770583,-16.97168626770583
-16.97166034915236,-16.97166034915236
-16.97166034915236,-16.97166034915236
-16.97168626770583,-16.97168626770583
-16.971656376036876,-16.971656376036876
-16.971656376036876,-16.971656376036876
-16.97168626770583,-16.97168626770583
-16.97166034915236,-16.97166034915236
-16.97168626770583,-16.97168626770583
-16.97166034915236,-16.97166034915236
-16.971656376036876,-16.971656376036876
-16.971656376036876,-16.971656376036876
-16.971656376036876,-16.971656376036876
-16.97166034915236,-16.97166034915236
-16.97166034915236,-16.97166034915236
-16.97166034915236,-16.97166034915236
-16.971656376036876,-16.971656376036876
-16.97168626770583,-16.97168626770583
-16.97166034915236,-16.97166034915236
-16.97168626770583,-16.97168626770583
-16.97166034915236,-16.97166034915236
-16.97166034915236,-16.97166034915236
-16.949904125829377,-16.949904125829377
-16.949900152713894,-16.949900152713894
-16.949900152713894,-16.949900152713894
-16.949900152713894,-16.949900152713894
-16.949904125829377,-16.949904125829377
-16.97166034915236,-16.97166034915236
-16.949904125829377,-16.949904125829377
-16.949904125829377,-16.949904125829377
-16.949904125829377,-16.949904125829377
-16.971656376036876,-16.971656376036876
-16.97166034915236,-16.97166034915236
-16.97166034915236,-16.97166034915236
-16.97166034915236,-16.97166034915236
-16.971656376036876,-16.971656376036876
-16.97166034915236,-16.97166034915236
-16.97166034915236,-16.97166034915236
-16.97168626770583,-16.97168626770583
-16.97166034915236,-16.97166034915236
-16.965104994365497,-16.965104994365497
-16.943559897286356,-16.943559897286356
