score_fused,score_structure,score_alone
-17.361290379949704,-19.11745372738376,-19.073309947316734
-17.51564423689872,-17.85396787089086,-17.74645281872466
-17.490644162607413,-17.27677862258973,-17.354789520942308
-17.062789662722654,-17.481987868121795,-17.483395638311134
-17.056861400107948,-17.848317618657727,-17.899829235251996
-17.041462164024356,-17.69445217074213,-17.748378312931834
-17.053148277344732,-17.60943054818276,-17.642604692062136
-17.04554206339027,-17.527685323333277,-17.56719634207316
-17.037570814464562,-17.464291262014136,-17.506439726553648
-17.027706381691765,-17.45919047401529,-17.47068633307453
-17.024780283799213,-17.417712734653488,-17.44241356074851
-17.028375290647507,-17.389752357572814,-17.40162494535327
-17.03009206797599,-17.380680234188787,-17.380680234188787
-17.012460338135043,-17.31570030277643,-17.33315787850445
-17.004091855635107,-17.289547250127978,-17.334339186843813
-17.011660443938393,-17.297112706871864,-17.31415465973138
-17.013844191479347,-17.266924199942167,-17.28440286365061
-17.0111494466904,-17.228546006155256,-17.24569552490928
-17.003594295099987,-17.198188015939298,-17.22802408825178
-17.012496648143387,-17.192782360711778,-17.210043122869784
-17.001058647328055,-17.162879919405217,-17.191173034136273
-17.001651897079757,-17.14447419941607,-17.173444126706002
-16.993209685651333,-17.121115725197225,-17.121115725197225
-16.996113140503113,-17.105411344412843,-17.105411344412843
-16.992512822108363,-17.083281895994375,-17.09467289307795
-16.985798351818445,-17.07582378948803,-17.07582378948803
-16.973857905887943,-17.074379503286938,-17.074379503286938
-16.97223127346493,-17.05982199858396,-17.05982199858396
-16.984269882459813,-17.049165201752153,-17.049165201752153
-16.967747818855003,-17.04047542047221,-17.04047542047221
-16.990119449283874,-17.047380148579887,-17.047380148579887
-16.98926197833585,-17.039668572643063,-16.98211831790626
-16.972543257543332,-17.018078984258594,-17.018078984258594
-16.976502794293133,-17.009189858858605,-17.009189858858605
-16.970410023729254,-17.007328882700318,-17.007328882700318
-16.970949314899492,-17.003221117071977,-17.003221117071977
-16.967229073078524,-17.002334052049978,-17.002334052049978
-16.978948758106352,-17.00563199667766,-17.00563199667766
-16.913737938408705,-16.937782106235222,-16.937782106235222
-16.9084923733137,-16.933137381957437,-16.933137381957437
-16.90680539330561,-16.93805506532208,-16.93805506532208
-16.905618621799082,-16.934363387994996,-16.934363387994996
-16.909791937603064,-16.930865307512487,-16.930865307512487
-16.908209454201174,-16.92890014676859,-16.92890014676859
-16.981982209041917,-17.02494667087633,-17.02494667087633
-16.982967537433705,-17.031678391870617,-17.031678391870617
-16.971219541331017,-17.017178150303042,-17.017178150303042
-16.97287899104919,-17.01354872560025,-17.01354872560025
-16.920297783480404,-16.959812398051774,-16.959812398051774
-16.934583302681773,-16.97338512082281,-16.97338512082281
-16.919068178965865,-16.951099242557397,-16.951099242557397
-16.924763915977138,-16.96615733685067,-16.96615733685067
-16.925874790616394,-16.964493847654413,-16.964493847654413
-16.93391418650688,-16.967679866746725,-16.967679866746725
-16.946351248122255,-16.980811001748638,-16.980811001748638
-16.932268931651024,-16.960609524144857,-16.960609524144857
-16.93083110635796,-16.956094326978953,-16.956094326978953
-16.931149886448118,-16.953982322014234,-16.953982322014234
-16.92980805079116,-16.95051700857521,-16.95051700857521
-16.92975567188148,-16.948956274915396,-16.948956274915396
-16.92760621547309,-16.94470630632251,-16.94470630632251
-16.927031386832834,-16.944010931261573,-16.944010931261573
-16.9295534550855,-16.94649429781334,-16.94649429781334
-16.92876454811896,-16.943825324049076,-16.943825324049076
-16.928429771502024,-16.94318080640344,-16.94318080640344
-16.922937233248287,-16.941588941999257,-16.941616069985795
-16.921810775121568,-16.93896748112261,-16.93899302278283
-16.926873316905564,-16.939601592415244,-16.939601592415244
-16.92773416370778,-16.9402382486455,-16.9402382486455
-16.9247287357295,-16.94614874602453,-16.94614874602453
-16.923905591126797,-16.945268413044378,-16.96065015089305
-16.927063411596986,-16.94194979305436,-16.94194979305436
-16.926550176492444,-16.941932679875258,-16.941932679875258
-16.92490925106531,-16.938796360826583,-16.938796360826583
-16.93507497517307,-16.955057062038584,-16.955057062038584
-16.93827680995334,-16.958653470272104,-16.958653470272104
-16.937407980150194,-16.96007545746721,-16.96007545746721
-16.935081320921498,-16.95630455080442,-16.95630455080442
-16.92885808321373,-16.952156781281815,-16.952156781281815
-16.931461565153935,-16.951084828629394,-16.951084828629394
-16.929795865590616,-16.952833288532577,-16.952833288532577
-16.93571007919011,-16.954144212467234,-16.954144212467234
-16.933804413768314,-16.95086835991328,-16.95086835991328
-16.93219677871011,-16.949636623038316,-16.949636623038316
-16.93135359414006,-16.952072057577023,-16.952072057577023
-16.916377627854118,-16.934938525511374,-16.934938525511374
-16.915784420946252,-16.934011403663074,-16.934011403663074
-16.931395731022313,-16.949994475174588,-16.949994475174588
-16.93350019469735,-16.94980952433969,-16.94980952433969
-16.930705721283367,-16.94841510193741,-16.94841510193741
-16.933301198643104,-16.94871980016488,-16.94871980016488
-16.930736332171396,-16.9487842912267,-16.9487842912267
-16.93204686585138,-16.9494965974976,-16.9494965974976
-16.93396660511388,-16.94938866985684,-16.94938866985684
-16.93220212758796,-16.946643842500897,-16.946643842500897
-16.931407594352773,-16.94461904246348,-16.94461904246348
-16.929319470924806,-16.941839986148945,-16.941839986148945
-16.929418784715068,-16.941218678198453,-16.941218678198453
-16.927501251892647,-16.9405673271738,-16.9405673271738
-16.929206520362847,-16.939713070466116,-16.939713070466116
-16.926851679338792,-16.937443303788072,-16.937443303788072
-16.926154362257297,-16.936239893861725,-16.936239893861725
-16.923912294297125,-16.936591858010257,-16.936591858010257
-16.925092972438105,-16.938097670286673,-16.938097670286673
-16.925619618631085,-16.936876601473834,-16.936876601473834
-16.92468991146124,-16.93509136885817,-16.93509136885817
-16.923738022376206,-16.93334809656938,-16.93334809656938
-16.9236934888679,-16.932380241475517,-16.932380241475517
-16.92226830510094,-16.932466802245553,-16.932466802245553
-16.922792381662383,-16.931463380690627,-16.931463380690627
-16.922493484130477,-16.930006122435717,-16.930006122435717
-16.9201744427152,-16.928467996023397,-16.928467996023397
-16.92173924787816,-16.926965733349817,-16.926965733349817
-16.920722181989863,-16.925785435267226,-16.925785435267226
-16.917038011715192,-16.924824697915714,-16.924824697915714
-16.918701491421746,-16.9238752338517,-16.9238752338517
-16.917161292246195,-16.92472987622598,-16.92472987622598
-16.917367487559304,-16.922659741115393,-16.922659741115393
-16.916970316526445,-16.92102538625482,-16.92102538625482
-16.917582231987762,-16.921923780933536,-16.921923780933536
-16.917800671317966,-16.921675949818322,-16.921675949818322
-16.916392021811244,-16.92032864472074,-16.92032864472074
-16.91655116532013,-16.919884562508088,-16.919884562508088
-16.917169442735734,-16.91979136000754,-16.91979136000754
-16.918307966740098,-16.91963242857682,-16.91963242857682
-16.916656201715988,-16.919427651315296,-16.919427651315296
-16.918460772830198,-16.919770396076803,-16.919770396076803
-16.917343949477765,-16.91989390800459,-16.91989390800459
-16.918559900165327,-16.919175810130316,-16.919175810130316
-16.919444483778943,-16.920599508693105,-16.920599508693105
-16.90047127749471,-16.899829627359775,-16.899829627359775
-16.902305869922415,-16.900227656589674,-16.900227656589674
-16.902411118021263,-16.899687695076025,-16.899687695076025
-16.901780819336416,-16.89877186948995,-16.89877186948995
-16.90160399448556,-16.898665445737567,-16.898665445737567
-16.92144166308946,-16.919743330544318,-16.919743330544318
-16.90237832063937,-16.898176619692414,-16.898176619692414
-16.902363477045004,-16.897498317678547,-16.897498317678547
-16.902835915352906,-16.898374358327946,-16.898374358327946
-16.923395598470595,-16.91980929037754,-16.91980929037754
-16.92263878417967,-16.92018348063615,-16.92018348063615
-16.92294454041528,-16.920130808536932,-16.920130808536932
-16.922742865549445,-16.919559262763144,-16.919559262763144
-16.923626553274737,-16.91965455961753,-16.91965455961753
-16.923263778662417,-16.920168046587214,-16.920168046587214
