score_fused,score_alone
-17.624540103928116,-17.646561933872455
-17.545262627176996,-17.646561933872455
-17.516607185220614,-17.646561933872455
-17.48104490711019,-17.646574857925938
-17.48638283393466,-17.548798580511864
-17.45488655384877,-17.524789040889743
-17.45488655384877,-17.52086436121316
-17.451954499421557,-17.52752920139571
-17.455278249311654,-17.52756126080625
-17.425569422362162,-17.52754833675277
-17.455278249311654,-17.503398495811545
-17.437925728447635,-17.503398495811545
-17.42367291045256,-17.50337936045449
-17.42367291045256,-17.503398495811545
-17.42367291045256,-17.52756126080625
-17.433874239153862,-17.50337936045449
-17.448127057148934,-17.527480191637242
-17.448127057148934,-17.527480191637242
-17.448127057148934,-17.527408035433673
-17.433874239153862,-17.527480191637242
-17.433874239153862,-17.527408035433673
-17.433874239153862,-17.527461056280185
-17.433874239153862,-17.499651086195822
-17.433874239153862,-17.49541124916793
-17.433874239153862,-17.49541124916793
-17.433874239153862,-17.499598065349314
-17.448127057148934,-17.499598065349314
-17.433874239153862,-17.499598065349314
-17.433874239153862,-17.499598065349314
-17.433874239153862,-17.499651086195822
-17.433874239153862,-17.499651086195822
-17.433874239153862,-17.474574347090417
-17.433874239153862,-17.474555211733357
-17.433874239153862,-17.478093228491634
-17.448127057148934,-17.474555211733357
-17.448127057148934,-17.474574347090417
-17.448127057148934,-17.474574347090417
-17.448127057148934,-17.448127057148934
-17.448127057148934,-17.448127057148934
-17.433874239153862,-17.448127057148934
-17.433874239153862,-17.48420582006369
-17.433874239153862,-17.484192896010207
-17.433874239153862,-17.484192896010207
-17.433874239153862,-17.474574347090417
-17.433874239153862,-17.481973104876616
-17.462925534760885,-17.481986028930102
-17.469303131511893,-17.484192896010207
-17.461316572375054,-17.484192896010207
-17.461316572375054,-17.462925534760885
-17.469250110665385,-17.48420582006369
-17.469303131511893,-17.484192896010207
-17.469303131511893,-17.462925534760885
-17.469250110665385,-17.462925534760885
-17.469303131511893,-17.462912610707395
-17.461316572375054,-17.462912610707395
-17.461316572375054,-17.462912610707395
-17.461316572375054,-17.462912610707395
-17.461316572375054,-17.462912610707395
-17.446474172496128,-17.446474172496128
-17.461316572375054,-17.462925534760885
-17.446474172496128,-17.446487096549607
-17.446487096549607,-17.446487096549607
-17.446487096549607,-17.446487096549607
-17.446474172496128,-17.446474172496128
-17.446474172496128,-17.446474172496128
-17.446487096549607,-17.446487096549607
-17.446474172496128,-17.446474172496128
-17.446487096549607,-17.446487096549607
-17.446474172496128,-17.446474172496128
-17.446474172496128,-17.446474172496128
-17.446474172496128,-17.446474172496128
-17.446474172496128,-17.446474172496128
-17.446474172496128,-17.446474172496128
-17.446474172496128,-17.446474172496128
-17.446474172496128,-17.446474172496128
-17.446487096549607,-17.446487096549607
-17.446474172496128,-17.446474172496128
-17.446487096549607,-17.446487096549607
-17.446474172496128,-17.446474172496128
-17.446487096549607,-17.446487096549607
-17.446487096549607,-17.446487096549607
-17.443078234971573,-17.443078234971573
-17.443092408119814,-17.443092408119814
-17.443078234971573,-17.443078234971573
-17.443078234971573,-17.443078234971573
-17.443078234971573,-17.443078234971573
-17.443078234971573,-17.443078234971573
-17.443078234971573,-17.443078234971573
-17.443092408119814,-17.443092408119814
-17.443092408119814,-17.443092408119814
-17.443092408119814,-17.443092408119814
-17.443078234971573,-17.443078234971573
-17.443078234971573,-17.443078234971573
-17.443078234971573,-17.443078234971573
-17.443078234971573,-17.443078234971573
-17.443092408119814,-17.443092408119814
-17.443078234971573,-17.443078234971573
-17.443078234971573,-17.443078234971573
-17.443078234971573,-17.443078234971573
-17.443092408119814,-17.443092408119814
-17.443078234971573,-17.443078234971573
-17.443078234971573,-17.443078234971573
-17.443078234971573,-17.443078234971573
-17.443078234971573,-17.443078234971573
-17.42654999477689,-17.443092408119814
-17.426514799149658,-17.443092408119814
-17.426514799149658,-17.443078234971573
-17.426514799149658,-17.443078234971573
-17.42654999477689,-17.443092408119814
-17.42654999477689,-17.443078234971573
-17.42654999477689,-17.443078234971573
-17.426514799149658,-17.440691237561307
-17.426514799149658,-17.440779454035052
-17.426514799149658,-17.44079237808854
-17.42654999477689,-17.44079237808854
-17.426514799149658,-17.440779454035052
-17.42654999477689,-17.440779454035052
-17.426514799149658,-17.440779454035052
-17.426514799149658,-17.443825804337934
-17.426514799149658,-17.44079237808854
-17.42654999477689,-17.44381288028445
-17.42654999477689,-17.443825804337934
-17.42654999477689,-17.443825804337934
-17.42654999477689,-17.44381288028445
-17.426514799149658,-17.44381288028445
-17.42654999477689,-17.44381288028445
-17.426514799149658,-17.44381288028445
-17.426514799149658,-17.44381288028445
-17.42654999477689,-17.443825804337934
-17.426514799149658,-17.44381288028445
-17.42654999477689,-17.44381288028445
-17.42654999477689,-17.44381288028445
-17.426514799149658,-17.44381288028445
-17.42654999477689,-17.443825804337934
-17.426514799149658,-17.443825804337934
-17.426514799149658,-17.44381288028445
-17.426514799149658,-17.44381288028445
-17.42654999477689,-17.443825804337934
-17.426514799149658,-17.44381288028445
-17.42654999477689,-17.44381288028445
-17.42654999477689,-17.44381288028445
-17.42654999477689,-17.44381288028445
-17.44079237808854,-17.443825804337934
-17.440779454035052,-17.44381288028445
-17.43079393530821,-17.44381288028445
-17.43085488158402,-17.443825804337934
-17.43079393530821,-17.44381288028445
-17.43085488158402,-17.443825804337934
-17.43085488158402,-17.443825804337934
-17.43075374105679,-17.440691237561307
