score_fused,score_alone
-13.937218763436453,-15.251986097040762
-13.937218763436453,-15.081404684257905
-13.937218763436453,-15.081404684257905
-14.136630665399316,-14.955947075848767
-13.976262441197694,-14.644647207586793
-14.107926143016602,-14.300439441438705
-13.977506157446761,-14.064018405752309
-14.086427234472058,-14.55730783758635
-14.00920251320789,-14.242225169147499
-14.00920251320789,-14.019899640148678
-13.955011814701532,-13.8860213141079
-14.039433858570384,-13.96606233633383
-14.069368511537665,-13.978627035262228
-14.048757967722505,-13.978627035262228
-14.048757967722505,-13.978627035262228
-14.048757967722505,-13.978627035262228
-14.105171673136603,-13.96606233633383
-14.048757967722505,-13.85889597016258
-14.040677574819451,-13.86013968641165
-14.040677574819451,-13.86013968641165
-13.983842751341475,-13.86013968641165
-14.12675067430245,-13.86013968641165
-13.999881452942343,-13.86013968641165
-14.12675067430245,-13.86013968641165
-14.185385646683775,-13.86013968641165
-14.00432572681731,-13.917813478511766
-13.945690754435985,-14.05220460112948
-14.00432572681731,-13.864929904088452
-14.00432572681731,-13.864929904088452
-14.058516425323667,-14.042880491977362
-13.98249505485254,-14.042880491977362
-13.98249505485254,-14.107374590294512
-13.98249505485254,-14.107374590294512
-13.98249505485254,-14.107374590294512
-13.98125133860347,-13.898112344491091
-13.98125133860347,-14.107374590294512
-13.98249505485254,-14.107374590294512
-14.108618306543578,-14.107374590294512
-14.108618306543578,-14.107374590294512
-14.108618306543578,-14.107374590294512
-14.108618306543578,-14.107374590294512
-14.071240757525596,-14.107374590294512
-14.108618306543578,-13.898112344491091
-14.108618306543578,-13.94848396316054
-14.108618306543578,-13.94848396316054
-14.108618306543578,-13.94848396316054
-14.108618306543578,-13.898112344491091
-14.108618306543578,-13.898112344491091
-14.071240757525596,-13.898112344491091
-14.071240757525596,-13.830918812396456
-14.071240757525596,-13.830918812396456
