score_fused,score_alone
-14.019667578058844,-15.520258155805545
-13.716657710102638,-14.835857494361129
-13.827676192026123,-14.249847036269275
-13.974579601072449,-14.15624656591306
-13.827676192026123,-14.33536960856188
-13.659897861636102,-14.058864136387461
-13.659897861636102,-14.065996766918962
-13.576134557137454,-14.065996766918962
-13.576134557137454,-13.716657710102638
-13.64764982625036,-13.716657710102638
-13.64764982625036,-13.716657710102638
-13.64764982625036,-13.944444981446809
-13.64764982625036,-13.542569893604774
-13.81962201867334,-13.665934905273456
-13.81962201867334,-13.665934905273456
-13.81962201867334,-13.665934905273456
-13.81962201867334,-13.665934905273456
-13.586984627978797,-13.373934436276667
-13.586984627978797,-13.384638953844563
-13.586984627978797,-13.54895009560476
-13.586984627978797,-13.81962201867334
-13.732486528722935,-13.54895009560476
-13.757486748313458,-13.816223963083063
-13.81962201867334,-13.816223963083063
-13.732486528722935,-13.816223963083063
-13.757486748313458,-13.816223963083063
-13.538557905193246,-13.54895009560476
-13.538557905193246,-13.72908847313266
-13.538557905193246,-13.72908847313266
-13.538557905193246,-13.72908847313266
-13.538557905193246,-13.72908847313266
-13.538557905193246,-13.72908847313266
-13.538557905193246,-13.732486528722935
-13.538557905193246,-13.732486528722935
-13.538557905193246,-13.538557905193246
-13.538557905193246,-13.538557905193246
-13.538557905193246,-13.538557905193246
-13.538557905193246,-13.586984627978797
-13.538557905193246,-13.586984627978797
-13.538557905193246,-13.586984627978797
-13.538557905193246,-13.586984627978797
-13.538557905193246,-13.586984627978797
-13.538557905193246,-13.586984627978797
-13.538557905193246,-13.586984627978797
-13.538557905193246,-13.586984627978797
-13.538557905193246,-13.586984627978797
-13.538557905193246,-13.586984627978797
-13.538557905193246,-13.586984627978797
-13.538557905193246,-13.586984627978797
-13.538557905193246,-13.586984627978797
-13.538557905193246,-13.586984627978797
