score_fused,score_alone
-31.65750282456455,-32.022708233961005
-31.67962993540891,-31.888058727265687
-31.89127901185259,-31.883739264699212
-31.937698905284023,-31.96758718837536
-31.61520008157359,-31.64375322848103
-31.905195368220873,-31.68981321271793
-31.619584536853253,-31.86891660979893
-31.606947301412678,-31.598996482390874
-31.564456446618056,-31.579122148298747
-31.564456446618056,-31.569428210913692
-31.564456446618056,-31.630223215826295
-31.564456446618056,-31.810007966129497
-31.60266133992823,-31.557105409617005
-31.564456446618056,-31.574582108707382
-31.564456446618056,-31.566905998171894
-31.566628943263453,-31.561365625035634
-31.564456446618056,-31.608872130945585
-31.564456446618056,-31.58229754764534
-31.564456446618056,-31.55848128845345
-31.56175106930124,-31.577725193680834
-31.55513164722745,-31.577309671075934
-31.557309718644294,-31.577309671075934
-31.545706152537917,-31.577309671075934
-31.547240341291936,-31.545171846428378
-31.56272507342907,-31.56272507342907
-31.564557304112896,-31.564557304112896
-31.544253430314573,-31.54220263663431
-31.54727228511206,-31.54727228511206
-31.547690994392752,-31.54758950325965
-31.54132961164604,-31.54132961164604
-31.55090323746444,-31.54015970179383
-31.538122607498053,-31.538122607498053
-31.54126836942452,-31.54126836942452
-31.545110217501175,-31.545110217501183
-31.556089871070725,-31.556089871070725
-31.557723811724337,-31.557723811724337
-31.54915253509948,-31.54915253509948
-31.557123271164482,-31.557123271164482
-31.554167455231383,-31.554167455231383
-31.555086176868702,-31.555086176868702
-31.546152942770917,-31.546152942770917
-31.552000560518316,-31.552000560518316
-31.564456446618056,-31.55044103197139
-31.545673094560474,-31.543923421312368
-31.564456446618056,-31.556035211318445
-31.564456446618056,-31.577309671075934
-31.550762655195935,-31.550762655195935
-31.548681246075528,-31.548681246075528
-31.55335657987258,-31.55335657987258
-31.552000560518316,-31.552000560518316
-31.548814973841232,-31.548814973841232
