score_fused,score_structure,score_alone
10.193852605842139,58.64791642446325,52.706369080077856
7.943184618093169,18.792279050894788,20.19957142965652
8.085349933319593,18.34169656583951,19.672862538326843
7.38422557220099,20.133360387418627,20.396152090071876
6.610120356621802,10.553738593852195,10.258582523135882
6.786867349494056,11.242858588966433,11.173250254192682
6.815257287420564,11.017822221486979,11.233711902734337
6.8968414101450435,11.41258320654025,11.259140307873247
7.036462152299889,11.459754509487471,11.259140307873247
7.289846323624016,12.14528074141339,12.186518062667385
7.445823444258668,12.961096381490316,12.918265063996984
7.220032740953004,12.673625989434786,12.959006357950257
7.109062117599273,11.660215109162765,12.045190703644051
7.908516338554037,12.578415471795468,12.578415471795472
7.545608466224245,11.021894672965646,10.984460218611604
7.8111502802361965,11.399501313126985,11.448002534126966
7.693685259604422,11.203046258648923,11.238542367751887
7.761468684507879,11.135050381003017,11.198498377875179
7.680394211252124,10.933469274535241,11.027662336762852
8.072890648485481,10.78259719329387,10.774836813132067
7.468445954935953,9.339037699663864,9.013142764626565
7.793419869310014,9.353972335818561,9.385942947336408
7.221120544846925,8.58770982047739,8.568454374835719
6.937391696224328,7.911304546584385,7.932590342807285
6.945854250880048,7.8658256988126265,7.906942437119692
7.053558964184913,7.954101763251949,7.952099473477557
7.212600748990395,7.998600845424262,7.968486682390052
7.213677915435798,7.942588128274068,7.942588128274069
7.118236609459273,7.682355553671693,7.682355553671693
6.877936276245494,7.325839027319195,7.325839027319195
6.735376188098348,7.094713245321155,7.073704674873917
6.607216482467845,6.914128954932537,6.905173835432959
6.6913558672985145,7.025768447066676,7.0341925370693446
6.670304253604383,6.989817512877643,7.010328640617093
6.758449208821396,7.101099608718767,7.092959639589977
6.856411236749294,7.225731509119827,7.211057763314035
6.883216187837312,7.2688040704939025,7.272865057056225
6.958221225493669,7.374205972395036,7.377111627152447
6.856359454435657,7.296542720087662,7.377111627152447
6.8985406953649235,7.2984613363215605,7.377111627152447
6.646647705733866,6.995502973523111,7.377111627152447
6.73020183700979,7.051645870530748,7.377111627152447
6.703877595578142,7.082414553534466,7.082414553534466
6.679190772975579,6.9667425397121105,6.9667425397121105
6.76112414822986,7.010990806814216,6.98781077495117
6.69670925209425,7.029214715578375,7.029214715578376
6.764667463022767,7.083048955221968,7.083048955221969
6.869372874721849,7.174532803258041,7.162778346895676
6.8214785586168,7.1575952835647865,7.174730710651272
6.897137108376363,7.264055364549928,7.282018747120844
6.91679596829843,7.329991649184418,7.329991649184417
