score_fused,score_structure,score_alone
11.186206207933926,21.211018839023144,23.28055438966098
7.436037170601603,6.567782115906037,7.047767237261403
8.172940505659186,7.90023366480792,8.249865867436096
8.230070240781735,8.371814167160952,8.666771534235309
9.434785850871746,9.407189843956758,9.373359725367122
9.23379458578606,9.365801381183076,9.295033142038779
8.339822987424396,9.102991097322514,8.858087919480816
8.55639561146057,7.72413007005128,8.08406099643923
8.33420036892394,8.157510152814812,8.340768279123985
8.9243256571048,8.387097704205491,8.638259482525616
7.942610700898086,7.435096895546609,7.384132293233999
7.080795627585713,5.968885346003237,5.9113457492730985
6.858922174590256,5.812258551022465,5.762483255555243
6.833149320977871,5.9574501801155115,5.946859078931608
7.155455784577786,5.897240928801392,5.93510045398003
7.159426549403117,6.090457705512029,6.068587757914948
7.20964586828328,6.221387387981854,6.165320902039778
6.98330592903889,6.144497614839666,6.090419696733013
6.983308195573055,6.333578910639538,6.3205456590700395
6.913533521971882,6.460955202963489,6.428466867071688
7.0679016792552405,6.65152118756712,6.589704788459327
7.191589056451183,6.818609809334743,6.773266206146311
7.248828813343295,6.948217693736946,6.948314737225071
7.400536311727256,7.1775078428195425,7.170218747264494
7.466877539127744,7.297377774896063,7.3184678587836665
7.581278451012182,7.437431313026354,7.385005612725457
7.518520632924474,7.539817151485681,7.5611816697501295
7.297984384728352,7.412648437991587,7.4563750684026395
7.614648903738202,7.572813326373414,7.554419555659955
7.770552883445013,7.743598146459518,7.729840813726588
7.852576791125352,7.802464633423611,7.835171633648351
7.990759902548703,7.953174209481482,7.95353658882852
8.052022138255875,7.9533477114135,7.953519441020169
6.909674787542806,6.554567723993604,6.535123336222041
7.026106799582175,6.661513052988936,6.6455761527229145
7.0058809618833795,6.743553442150146,6.636816397560688
6.96629527306448,6.6668405833743,6.65003566702928
7.089518290927332,6.776525717167726,6.771797599388884
7.014421567851174,6.7727344093041175,6.780473918688455
7.008654091006311,6.845954652519635,6.8241253810466045
7.0413621775576,6.879059965217176,6.901910576255223
7.128372554960689,6.9142024573672884,6.914286975705696
7.194887229873525,6.987976907742028,6.987976907742031
7.26882762030955,7.068065337234483,7.068106353144884
7.2982025895906615,7.1468826480647385,7.1579998648084935
7.364418150418575,7.188563834982305,7.188563834982305
7.099897675330611,6.942062958843237,6.964581887028784
7.238985013268902,6.962978595878804,6.976004130605797
7.238821011738072,7.026802285964406,7.05068309040201
7.29061300604651,7.125271619157066,7.137268314399096
7.103585402764446,6.933973612105442,6.952382277781212
