score_fused,score_structure,score_alone
-16.504484313459493,-20.157343280915907,-19.21937736720621
-16.27752382663153,-18.114045947905883,-18.148349674406237
-16.599412563505442,-17.362102535522375,-17.46670767270463
-16.48345973397989,-17.476491615339228,-17.530727276968644
-16.394842755342317,-16.988096085137283,-16.950442235335288
-16.380885499893346,-16.880729713993254,-16.84633753623895
-16.344247637166486,-16.73926232995303,-16.708254247194052
-16.30591710730271,-16.644122165731766,-16.622109224719807
-16.313225274042832,-16.620126148261736,-16.59278950278463
-16.28187016151299,-16.586161604333228,-16.55504635446266
-16.20307799572279,-16.583399601654317,-16.55845171115643
-16.193464822452643,-16.546373064858148,-16.52265609605086
-16.190154638896356,-16.509951656461126,-16.489255009473126
-16.189995154567473,-16.504567607186928,-16.485550536469283
-16.19912425509798,-16.481568333468445,-16.457112608626634
-16.19338783324899,-16.457371249394843,-16.433193458133356
-16.190006893422556,-16.44872567152291,-16.42909756398352
-16.132599492989602,-16.4523494184416,-16.48318256826279
-16.13336317815866,-16.45730416672839,-16.492159010220615
-16.126323010209358,-16.46296101174477,-16.49678462907269
-16.12443798164614,-16.448867085330317,-16.448867085330317
-16.12365239273203,-16.43846558364113,-16.471569511147138
-16.128199513696757,-16.40808035345452,-16.442780930926986
-16.12628198532167,-16.40018037686575,-16.37210391067676
-16.12457501707578,-16.350647989838535,-16.40715671704219
-16.126504646006612,-16.33503373777161,-16.389572975197627
-16.128681556157588,-16.343572467081575,-16.3971234558714
-16.131257266904857,-16.309760193462978,-16.259085330331235
-16.135380673581867,-16.288309345396442,-16.343314370868956
-16.1949660915436,-16.33328630402996,-16.240624523765433
-16.19619688738733,-16.32526994111066,-16.232808265909807
-16.144620676170582,-16.302198605718687,-16.25155915692857
-16.101071425469353,-16.314280076063117,-16.3231734961024
-16.10442523126756,-16.326212772027656,-16.333119265215746
-16.128683794783072,-16.34919346515084,-16.34919346515084
-16.198960097716988,-16.407215712177216,-16.432120069093195
-16.15881725426422,-16.350597849674124,-16.350597849674124
-16.176053592627884,-16.362426782041446,-16.37649829953042
-16.169200550103007,-16.351927350252662,-16.369542822375937
-16.217741347318793,-16.360373185825953,-16.374234383814418
-16.22193324822171,-16.362625394894806,-16.362625394894806
-16.21315732504441,-16.370871232935144,-16.370871232935144
-16.224211995728307,-16.385990518524064,-16.385990518524064
-16.201668251523486,-16.348760359209535,-16.348760359209535
-16.210443417219093,-16.347723033700433,-16.347723033700433
-16.206577835762783,-16.342354292330292,-16.342354292330292
-16.19089306733565,-16.326971305631847,-16.340792108630527
-16.214689531141723,-16.37491712894645,-16.37491712894645
-16.216539782645086,-16.367478654486167,-16.367478654486167
-16.21856879379769,-16.36064725440435,-16.36064725440435
-16.20188569595388,-16.35450201065871,-16.35450201065871
-16.221746939381987,-16.347558898075103,-16.347558898075103
-16.225155713273313,-16.344365628288553,-16.344365628288553
-16.22981762708555,-16.3410187273819,-16.3410187273819
-16.24974907638094,-16.366711780598266,-16.366337594934166
-16.254246457075972,-16.36322470531654,-16.362742612906732
-16.252982385732654,-16.355262083061927,-16.355033491879848
-16.25025719317996,-16.35080003704125,-16.350279770852318
-16.24406243235625,-16.3420819111139,-16.34172846936181
-16.244518070222025,-16.340537378960185,-16.340431727457013
-16.242130160650316,-16.33564821750279,-16.335841813589
-16.236617082301347,-16.328195818477948,-16.327984945024323
-16.231778084399217,-16.321307461745384,-16.321229483554703
-16.2272543632973,-16.315485072715997,-16.315094956962128
-16.22095457326186,-16.30696063934456,-16.306607420745998
-16.21587175360546,-16.29994317759605,-16.299861700715788
-16.214637871734833,-16.297535386289027,-16.29728102642895
-16.210171096184048,-16.29076355119918,-16.290461953050336
-16.2063912779668,-16.285653065540973,-16.285433357725413
-16.203272374554434,-16.280945515741546,-16.28111736174271
