score_fused,score_structure,score_alone
-38.35459005691058,-47.318290487203214,-49.30146979709866
-37.97232061643068,-41.6133314959197,-42.676736002473206
-36.81699776346232,-37.431842297891436,-37.900279285889944
-36.95421882722832,-38.11522279564055,-38.45587811149572
-36.83238568055776,-37.45235446188559,-37.532416846155606
-36.57404006127021,-37.48535985414423,-37.753958961333
-36.24695114565632,-37.228057032940136,-37.49279726820051
-36.276106357949296,-37.390592485056864,-37.35246684591645
-36.61782271807484,-37.13846287511365,-37.171319581585166
-36.329837980911265,-37.12855628063236,-37.45602814961919
-36.355529926335315,-36.99327944810809,-37.21266011610634
-36.30339247127843,-37.11850312271397,-37.10351294501057
-36.333927179294136,-37.06746898175642,-37.09887709753939
-36.41089400188331,-37.14716933848639,-37.256207167370896
-36.69716178248481,-37.200062334328656,-37.181816950462874
-36.61480637049785,-37.17468407225335,-37.315457833205265
-37.07631610136345,-37.418310191870816,-37.38850946011105
-36.58726264244327,-37.34383447954134,-37.32799644962175
-36.66921731768546,-37.30445399338467,-37.360231180915704
-36.89398222157905,-37.58059229505218,-37.664322988450195
-36.84404862711403,-37.410028573019396,-37.519277069456216
-36.845677542890996,-37.62247181980782,-37.633236785443195
-37.06590417603692,-37.770554997473695,-37.73870109568694
-36.9636237582869,-37.71620206085622,-37.774292705458244
-37.14001845593618,-37.86965247921161,-37.8871546533786
-37.54994158064456,-38.00837794973998,-37.98768079438503
-37.47957192359046,-37.98507616642023,-37.99009759261778
-37.385917339542296,-37.92250262718462,-37.980131255626446
-37.39942430712778,-37.823416989283515,-37.87726128680508
-37.37838951868466,-37.87302065395799,-37.93420611018719
-37.53213234549847,-37.99460117092344,-38.05478078066434
-37.68025988357785,-38.13170086468288,-38.15575943952258
-37.72744488570615,-38.23968185243438,-38.30490137284583
-37.77192253567427,-38.28715494192784,-38.33275237047434
-37.8813719218789,-38.390510666063165,-38.37600678487961
-37.83447187629433,-38.39267412407477,-38.468944654454376
-37.87146730181423,-38.45193474265358,-38.4838875483568
-37.93665513510048,-38.47084596045744,-38.55018500215243
-37.97215097044458,-38.56627713771658,-38.60875447248757
-38.030701864600815,-38.64747555281303,-38.660157134778714
-38.01898519186576,-38.58788674434285,-38.60789690672451
-38.10039600196175,-38.69155956900445,-38.68224028762809
-38.12998782736232,-38.703770148902976,-38.70469124130819
-38.04987191655292,-38.71217207505339,-38.735751369085655
-38.04623045223559,-38.70368645368504,-38.757082786253186
-38.12885382834194,-38.74311090336311,-38.758953285230746
-38.187991693547346,-38.82164638967804,-38.826706874683204
-38.16490979455752,-38.80695675723096,-38.83911001855473
-38.14285911026353,-38.82055729563843,-38.8123957356429
-38.23025525943557,-38.89079020035625,-38.940613021553546
-38.05261121651046,-38.67129925554128,-38.67740633046832
